id,prompt,A,B,C,D,E,answer
962,What is data version control?,A method of tracking changes to databases,A system for managing data in relational databases,A method for working with large data sets and data lakes,A tool for collaboration in data analytics,A system for version controlling databases,C
963,Who founded the Inductotherm Group?,"Henry Madison ""Hank"" Rowan Jr.",Malcolm Gladwell,Henry Rowan,Ewing Township,Inductotherm Corp.,A
964,What is the concept of marine counterparts to land creatures called?,Bestiaries,Parallel lines,Antiquity,Moral attributes,Mathematical diagram,A
965,What is the role of interplanetary dust particles in the Solar System?,Scattering sunlight and emitting thermal radiation,Causing impact craters on lunar rocks,Creating the zodiacal light,Composing a visible cloud in the night sky,Contributing to the mass of an asteroid,A
966,What is the focus of Keisler's textbook on Elementary Calculus?,The use of ε–δ techniques in defining basic calculus notions,The construction of the hyperreal numbers by Robinson,The representation of hyperreal numbers using an infinite-magnification microscope,The coverage of foundational material in more depth for instructors,The availability of the textbook freely online,C
967,What is directed self-assembly (DSA)?,A method of mass-producing micro to nano devices and materials,A type of directed assembly that utilizes block co-polymer morphology,A process integrated with traditional manufacturing processes,A technique used in tissue engineering,"A method used in the hard drive industry to manufacture ""bit patterned media""",B
968,What is one argument for the existential risk from artificial general intelligence?,AI surpassing humanity in general intelligence,The plausibility of existential catastrophe due to AI,Concerns voiced by leading computer scientists and tech CEOs,The inability to control AI,The problems of AI control and alignment,A
969,When was the Boeing Everett Factory built?,1967,1943,1966,2022,525 million,A
970,Where is the Punta Culebra Nature Center located?,Panama City,Smithsonian Tropical Research Institute,Amador Causeway,Panamá,Fabulous Frogs of Panama,C
971,What is the scale of femtotechnology in comparison to nanotechnology and picotechnology?,10^-15 m,10^-9 m,10^-12 m,10^-6 m,10^-3 m,A
972,When did NASA release a mission concept involving the launch of an interstellar probe?,May 2016,December 2017,April 2016,2069,2113,B
973,"What is the advantage of using a bioprocess for producing 1,3-propanediol compared to conventional petrochemical processes?",Smaller environmental footprint and lower operating costs,Greater sustainability due to use of renewable feedstock and smaller capital investment,Higher energy efficiency and larger environmental footprint,Higher capital investment and lower operating costs,Greater sustainability due to use of renewable feedstock and higher energy efficiency,A
974,What is the purpose of technology readiness levels (TRLs)?,To estimate the cost of acquiring technologies,To assess the technical maturity of technologies,To evaluate program concepts and technology requirements,To determine the level of technology capabilities,To measure the success of the acquisition phase,B
975,What risks are cited in the letter as reasons to pause the training of AI systems more powerful than GPT-4?,Increased AI-generated propaganda,Extreme automation of jobs,Human obsolescence,Society-wide loss of control,All of the above,E
976,What is the purpose of using symbolic language in engineering?,"To represent entities, aspects, attributes, and relationships",To create precise and concise representations of concepts,To communicate knowledge in a non-text and non-image form,To design and construct programmable logic control operations,To develop network diagrams used in computing,A
977,What is the purpose of a universal gateway?,To optimize the performance of a production line,To manage machine to machine communications,To connect data from one automation system to another,To facilitate machine to enterprise communications,To leverage EATM technology for data interoperability,C
978,What is the purpose of using glutamate-sensitive fluorescent reporters (iGluSnFR) in neuroscience research?,To monitor the activity of presynaptic terminals,To study the structure of the GluSnFR protein,To create genetically engineered neurotransmitters,To analyze brain tissue using two-photon microscopy,To develop optogenetic sensors for neuroscience research,A
979,What is the primary purpose of a desalter in an oil refinery?,To remove water from crude oil,To remove salt from crude oil,To measure the salt content in crude oil,To produce potable water from crude oil,To reduce the salinity of river water,B
980,What is the purpose of an air classifier in industrial processes?,"To separate materials based on size, shape, and density","To remove metal, paper, and plastics from mixed materials",To control air pollution in industrial settings,To crush and shred materials in the automotive recycling process,To separate nonferrous metals using electromagnets,A
981,What technology is used for autonomous navigation of the UAVs?,Laser positioning technology,GPS technology,Radar technology,Infrared technology,Sonar technology,A
982,What is architectural technology?,The application of technology to the design of buildings,The study of different building types and styles,The analysis of building materials and construction methods,The integration of construction technologies in the building design process,The evaluation of building design factors for efficient and effective solutions,A
983,What is the purpose of the Stanford torus design proposed by NASA?,To explore and speculate on designs for future space colonies,To provide artificial gravity on the inside of the outer ring,To connect the ring to a hub via spokes,To perform zero-gravity industry in a non-rotating module,"To simulate a ""natural"" environment within the torus",A
984,Who created the character Firestorm?,Gerry Conway and Al Milgrom,Dan Jolley and ChrisCross,"Robbie Amell, Victor Garber, and Franz Drameh",Johnny Storm,The Human Torch,A
985,What was Jean Jacques Nicolas Huot known for?,Astronomy,Botany,Geography,Chemistry,Archaeology,C
986,Who administers the UK Breeding Bird Survey?,United States Geological Survey,Canadian Wildlife Service,British Trust for Ornithology,Joint Nature Conservation Committee,Royal Society for the Protection of Birds,C
